rank + name	pos + rk	tm	snap%	PPR FPs	FPs pos rk	FPs rk
1. Jahmyr Gibbs	RB1	DET	67.23	21.66	3	5
2. Christian McCaffrey	RB2	SF	84.09	25.12	1	1
3. Jaxon Smith-Njigba	WR1	SEA	76.85	21.95	2	4
4. Puka Nacua	WR2	LAR	69.11	23.81	1	2
5. Amon-Ra St. Brown	WR3	DET	85.74	18.69	5	11
6. Devon Achane	RB3	MIA	76.66	20.57	5	7
7. Bijan Robinson	RB4	ATL	78.26	21.57	4	6
8. Jonathan Taylor	RB5	IND	87.90	22.60	2	3
9. Ja'Marr Chase	WR4	CIN	95.28	18.93	3	9
10. Trey McBride	TE1	ARI	91.46	18.59	1	12
11. James Cook	RB6	BUF	62.38	19.47	6	8
12. CeeDee Lamb	WR5	DAL	75.30	15.35	11	24
13. Josh Jacobs	RB7	GB	61.83	16.84	7	15
14. George Pickens	WR6	DAL	84.77	18.13	7	14
15. Nico Collins	WR7	HOU	78.81	15.54	10	22
16. Bucky Irving	RB8	TB	64.39	14.93	14	27
17. Javonte Williams	RB9	DAL	72.83	15.18	12	25
18. Josh Allen	QB1	BUF	97.88	22.76	1	1
19. Derrick Henry	RB10	BAL	54.04	14.75	16	30
20. Saquon Barkley	RB11	PHI	79.60	15.03	13	26
21. A.J. Brown	WR8	PHI	92.15	14.89	12	29
22. Drake London	WR9	ATL	90.87	18.27	6	13
23. Tee Higgins	WR10	CIN	83.12	14.08	15	37
24. Tetairoa McMillan	WR11	CAR	88.75	13.29	19	43
25. George Kittle	TE2	SF	82.23	15.36	2	23
26. Kyren Williams	RB12	LAR	70.43	15.75	10	20
27. Travis Etienne	RB13	JAX	62.96	15.86	9	19
28. TreVeyon Henderson	RB14	NE	45.91	12.05	26	62
29. Chris Olave	WR12	NO	74.23	16.14	8	16
30. Drake Maye	QB2	NE	99.13	20.25	4	4
31. Jameson Williams	WR13	DET	91.55	12.91	22	47
32. Joe Burrow	QB3	CIN	86.77	15.49	22	22
33. Wan'Dale Robinson	WR14	NYG	92.16	13.04	21	45
34. Chase Brown	RB15	CIN	68.27	15.63	11	21
35. Kyle Pitts	TE3	ATL	87.93	13.03	5	46
36. Dallas Goedert	TE4	PHI	85.13	12.52	6	54
37. Michael Wilson	WR15	ARI	80.74	11.99	32	64
38. Courtland Sutton	WR16	DEN	87.16	13.64	16	39
39. Omarion Hampton	RB16	LAC	62.06	14.46	17	33
40. Dak Prescott	QB4	DAL	97.70	19.57	5	5
41. Ashton Jeanty	RB17	LV	77.13	14.89	15	28
42. Jaylen Waddle	WR17	MIA	81.72	12.89	23	49
43. DeVonta Smith	WR18	PHI	90.15	12.61	24	52
44. Mike Evans	WR19	TB	64.43	11.22	41	79
45. RJ Harvey	RB18	DEN	39.16	12.64	23	51
46. Zay Flowers	WR20	BAL	88.50	13.37	18	42
47. Breece Hall	RB19	NYJ	65.81	12.45	24	56
48. Travis Kelce	TE5	KC	83.42	11.81	8	68
49. Rico Dowdle	RB20	CAR	55.82	13.60	20	40
