rank + name	opp
1. Josh Allen	vs PHI
2. Drake Maye	@ NYJ
3. Jalen Hurts	@ BUF
4. Lamar Jackson	@ GB
5. Jacoby Brissett	@ CIN
6. Dak Prescott	@ WAS
7. Jared Goff	@ MIN
8. Joe Burrow	vs ARI
9. Matthew Stafford	@ ATL
10. Brock Purdy	vs CHI
11. Bo Nix	@ KC
12. Justin Herbert	vs HOU
13. Jaxson Dart	@ LV
14. Trevor Lawrence	@ IND
15. Caleb Williams	@ SF
16. Baker Mayfield	@ MIA
17. Jordan Love	vs BAL
18. Aaron Rodgers	@ CLE
19. Sam Darnold	@ CAR
20. J.J. McCarthy	vs DET
21. Kirk Cousins	vs LAR
22. Tyler Shough	@ TEN
23. C.J. Stroud	@ LAC
24. Marcus Mariota	vs DAL
25. Geno Smith	vs NYG
26. Cameron Ward	vs NO
27. Mac Jones	vs CHI
28. Joe Flacco	vs ARI
29. Dillon Gabriel	vs PIT
30. Malik Willis	vs BAL
31. Bryce Young	vs SEA
32. Josh Johnson	vs DAL
33. Philip Rivers	vs JAX
34. Shedeur Sanders	vs PIT
35. Quinn Ewers	vs TB
36. Brady Cook	vs NE
37. Max Brosmer	vs DET
38. Chris Oladokun	vs DEN
39. Mason Rudolph	@ CLE
40. Cooper Rush	@ GB
41. Davis Mills	@ LAC
42. Jameis Winston	@ LV
