rank + name	opp
1. Puka Nacua	@ ATL
2. Jaxon Smith-Njigba	@ CAR
3. Ja'Marr Chase	vs ARI
4. Amon-Ra St. Brown	@ MIN
5. CeeDee Lamb	@ WAS
6. George Pickens	@ WAS
7. Drake London	vs LAR
8. Nico Collins	@ LAC
9. Chris Olave	@ TEN
10. A.J. Brown	@ BUF
11. Jameson Williams	@ MIN
12. Tee Higgins	vs ARI
13. Courtland Sutton	@ KC
14. Wan'Dale Robinson	@ LV
15. Michael Wilson	@ CIN
16. Mike Evans	@ MIA
17. Tetairoa McMillan	vs SEA
18. Jauan Jennings	vs CHI
19. DeVonta Smith	@ BUF
20. Zay Flowers	@ GB
21. DJ Moore	@ SF
22. Jakobi Meyers	@ IND
23. Justin Jefferson	vs DET
24. Terry McLaurin	vs DAL
25. Jaylen Waddle	vs TB
26. Stefon Diggs	@ NYJ
27. Marvin Harrison	@ CIN
28. Ladd McConkey	vs HOU
29. Emeka Egbuka	@ MIA
30. Deebo Samuel	vs DAL
31. Michael Pittman	vs JAX
32. Brian Thomas	@ IND
33. Chris Godwin	@ MIA
34. Jordan Addison	vs DET
35. Alec Pierce	vs JAX
36. Adonai Mitchell	vs NE
37. Khalil Shakir	vs PHI
38. Tre Tucker	vs NYG
39. Quentin Johnston	vs HOU
40. Jayden Reed	vs BAL
41. Romeo Doubs	vs BAL
42. Christian Watson	vs BAL
43. Troy Franklin	@ KC
44. Keenan Allen	vs HOU
45. Xavier Worthy	vs DEN
46. Jalen Coker	vs SEA
47. Jayden Higgins	@ LAC
48. Rashid Shaheed	@ CAR
49. Josh Downs	vs JAX
50. John Metchie	@ LAC
51. Devaughn Vele	@ KC
52. Darius Slayton	@ LV
53. Chimere Dike	vs NO
54. Ricky Pearsall	vs CHI
55. Jerry Jeudy	vs PIT
56. Darnell Mooney	vs LAR
57. Kayshon Boutte	@ NYJ
58. Cooper Kupp	@ CAR
59. Keon Coleman	vs PHI
60. Xavier Legette	vs SEA
61. Andrei Iosivas	vs ARI
62. Tez Johnson	@ MIA
63. Matthew Golden	vs BAL
64. Calvin Austin	@ CLE
65. Malik Washington	vs TB
66. DeMario Douglas	@ NYJ
67. Kendrick Bourne	vs CHI
68. Christian Kirk	@ LAC
69. Olamide Zaccheaus	@ SF
70. Elic Ayomanor	vs NO
71. Rashod Bateman	@ GB
72. Jaylin Noel	@ LAC
73. Sterling Shepard	@ MIA
74. Marquise Brown	vs DEN
75. Tyquan Thornton	vs DEN
76. Dont'e Thornton Jr.	vs NYG
77. DeAndre Hopkins	@ GB
78. Curtis Samuel	vs PHI
79. Dyami Brown	@ IND
80. Marvin Mims	@ KC
81. Cedric Tillman	vs PIT
82. Parker Washington	@ IND
83. Luther Burden	@ SF
84. Mack Hollins	@ NYJ
85. Dontayvion Wicks	vs BAL
86. Konata Mumpfield	@ ATL
87. Isaac TeSlaa	@ MIN
88. Greg Dortch	@ CIN
89. Mason Tipton	@ TEN
90. Jalen McMillan	@ MIA
91. Kyle Williams	@ NYJ
92. Treylon Burks	vs NO
93. Zavier Scott	vs DET
94. Elijah Moore	vs PHI
95. Jack Bech	vs NYG
96. Jordan Whittington	@ ATL
97. Tre Harris	vs HOU
98. Pat Bryant	@ KC
99. Isaiah Bond	@ KC
100. Jalen Nailor	vs DET
101. Roman Wilson	@ CLE
102. Adam Thielen	vs SEA
103. Tyrell Shavers	vs PHI
104. Xavier Hutchinson	@ LAC
105. Josh Reynolds	vs NE
106. Luke McCaffrey	vs DAL
107. Jaylin Lane	vs DAL
108. Demarcus Robinson	vs CHI
109. Van Jefferson	vs NO
110. KaVontae Turpin	@ WAS
111. Brandin Cooks	@ TEN
