rank + name	pos + rk	tm	snap%	PPR FPs	FPs pos rk	FPs rk
1. Jahmyr Gibbs	RB1	DET	65.86	22.67	3	4
2. Christian McCaffrey	RB2	SF	84.08	24.59	1	1
3. Jaxon Smith-Njigba	WR1	SEA	75.52	21.95	2	5
4. Puka Nacua	WR2	LAR	68.40	23.81	1	2
5. Amon-Ra St. Brown	WR3	DET	84.82	19.64	4	9
6. Devon Achane	RB3	MIA	77.05	20.76	5	7
7. Bijan Robinson	RB4	ATL	78.71	20.99	4	6
8. Jonathan Taylor	RB5	IND	87.04	23.01	2	3
9. Ja'Marr Chase	WR4	CIN	95.93	18.85	5	12
10. Trey McBride	TE1	ARI	91.10	19.44	1	10
11. James Cook	RB6	BUF	62.67	18.97	6	11
12. CeeDee Lamb	WR5	DAL	74.31	16.25	8	16
13. Josh Jacobs	RB7	GB	63.51	17.77	7	15
14. George Pickens	WR6	DAL	84.43	18.01	7	14
15. Nico Collins	WR7	HOU	78.52	15.97	9	19
16. Bucky Irving	RB8	TB	63.84	16.04	9	18
17. Javonte Williams	RB9	DAL	73.84	16.08	8	17
18. Josh Allen	QB1	BUF	97.73	23.90	1	1
19. Derrick Henry	RB10	BAL	54.73	14.18	16	34
20. Saquon Barkley	RB11	PHI	79.61	14.59	14	29
21. A.J. Brown	WR8	PHI	92.34	14.62	12	28
22. Drake London	WR9	ATL	93.12	19.67	3	8
23. Tee Higgins	WR10	CIN	84.85	14.06	15	36
24. Tetairoa McMillan	WR11	CAR	88.76	12.86	24	48
25. George Kittle	TE2	SF	84.14	14.34	4	31
26. Kyren Williams	RB12	LAR	70.41	15.75	12	23
27. Travis Etienne	RB13	JAX	62.46	15.81	11	22
28. TreVeyon Henderson	RB14	NE	47.78	12.75	22	54
29. Chris Olave	WR12	NO	75.61	14.66	11	26
30. Drake Maye	QB2	NE	99.07	20.01	4	4
31. Brock Bowers	TE3	LV	84.95	14.72	2	25
32. Jameson Williams	WR13	DET	91.14	13.49	18	42
33. Joe Burrow	QB3	CIN	86.09	12.79	33	33
34. Wan'Dale Robinson	WR14	NYG	91.73	13.60	16	40
35. Chase Brown	RB15	CIN	68.82	14.40	15	30
36. Kyle Pitts	TE4	ATL	87.83	12.62	6	56
37. Dallas Goedert	TE5	PHI	84.78	12.55	7	57
38. Michael Wilson	WR15	ARI	80.37	11.90	32	65
39. Courtland Sutton	WR16	DEN	86.67	13.54	17	41
40. Omarion Hampton	RB16	LAC	62.99	14.17	17	35
41. Dak Prescott	QB4	DAL	98.15	19.37	5	5
42. Ashton Jeanty	RB17	LV	76.02	13.69	20	39
43. Jaylen Waddle	WR17	MIA	82.48	12.94	23	47
44. Rashee Rice	WR18	KC	75.49	18.76	6	13
45. DeVonta Smith	WR19	PHI	90.29	12.35	29	60
46. Mike Evans	WR20	TB	63.98	10.64	44	88
47. RJ Harvey	RB18	DEN	37.80	11.54	27	71
48. Zay Flowers	WR21	BAL	88.47	12.81	25	50
49. Breece Hall	RB19	NYJ	66	12.75	23	55
50. Quinshon Judkins	RB20	CLE	52.82	12.28	24	61
51. Travis Kelce	TE6	KC	82.24	12.77	5	53
52. Rico Dowdle	RB21	CAR	55.76	13.98	18	37
53. Justin Jefferson	WR22	MIN	96.37	11.54	34	71
54. DK Metcalf	WR23	PIT	88.19	12.79	27	52
55. Lamar Jackson	QB5	BAL	96.83	17.25	15	15
56. Davante Adams	WR24	LAR	73.01	15.92	10	21
57. Emeka Egbuka	WR25	TB	83.42	13.14	22	46
58. Terry McLaurin	WR26	WAS	67.22	12.13	31	63
59. D'Andre Swift	RB22	CHI	58.45	14.76	13	24
60. Tyrone Tracy	RB23	NYG	52.14	9.70	34	100
61. Harold Fannin	TE7	CLE	80.54	11.14	13	80
62. Jakobi Meyers	WR27	JAX	86.06	11.53	35	73
63. Deebo Samuel	WR28	WAS	71.27	12.79	26	51
64. Ladd McConkey	WR29	LAC	77.95	11.61	33	69
65. Stefon Diggs	WR30	NE	57.20	11.29	39	78
66. Woody Marks	RB24	HOU	50.95	9.70	34	100
67. Jaylen Warren	RB25	PIT	53.92	12.82	21	49
68. Christian Watson	WR31	GB	70.23	13.30	21	45
69. Jauan Jennings	WR32	SF	81.48	11.29	40	79
70. Brian Thomas	WR33	JAX	84.60	10.84	41	85
71. Kyle Monangai	RB26	CHI	40.30	8.63	43	118
72. Kenneth Walker	RB27	SEA	48.42	11.13	28	81
73. Kenneth Gainwell	RB28	PIT	46.43	12.09	25	64
74. Michael Pittman	WR34	IND	85.56	13.46	19	43
75. Garrett Wilson	WR35	NYJ	87.89	14.21	14	33
76. Marvin Harrison	WR36	ARI	77.65	12.54	28	58
77. Aaron Jones	RB29	MIN	58.76	9.21	38	107
78. David Montgomery	RB30	DET	38.38	10.93	31	84
79. Matthew Stafford	QB6	LAR	99.04	20.73	2	2
80. Zach Charbonnet	RB31	SEA	46.89	9.75	33	98
81. Kareem Hunt	RB32	KC	48.25	9.64	36	102
82. Alec Pierce	WR37	IND	87.03	10.79	42	86
83. Chris Godwin	WR38	TB	71.58	8.23	58	126
84. Jalen Hurts	QB7	PHI	98.11	19.34	6	6
85. Jaxson Dart	QB8	NYG	79.24	17.83	11	11
86. Caleb Williams	QB9	CHI	98.57	18.40	9	9
87. Jacoby Brissett	QB10	ARI	81.68	16.79	16	16
88. Tyler Warren	TE8	IND	84.36	11.83	11	68
89. Jake Ferguson	TE9	DAL	71.71	12.44	8	59
90. Dalton Kincaid	TE10	BUF	40.15	11.83	10	67
91. Trevor Lawrence	QB11	JAX	98.47	18.61	7	7
92. Luther Burden	WR39	CHI	36	7.12	65	142
93. Khalil Shakir	WR40	BUF	60.27	10.68	43	87
94. Chuba Hubbard	RB33	CAR	47.27	9.54	37	103
95. Blake Corum	RB34	LAR	28.39	7.50	50	137
96. Devin Singletary	RB35	NYG	26.21	5.40	63	192
97. Kimani Vidal	RB36	LAC	65.43	10.44	32	91
98. Dalton Schultz	TE11	HOU	72.84	10.50	14	90
99. Darren Waller	TE12	MIA	45.91	11.53	12	74
100. Jordan Addison	WR41	MIN	87.75	10.56	45	89
101. Rome Odunze	WR42	CHI	88.41	12.18	30	62
102. Ricky Pearsall	WR43	SF	79.33	9.39	50	105
103. Quentin Johnston	WR44	LAC	79.61	11.33	38	77
104. Xavier Worthy	WR45	KC	69.45	8.64	54	117
