rank + name	opp
1. Josh Allen	@ CLE
2. Drake Maye	@ BAL
3. Jalen Hurts	@ WAS
4. Lamar Jackson	vs NE
5. Jacoby Brissett	vs ATL
6. Dak Prescott	vs LAC
7. Jared Goff	vs PIT
8. Joe Burrow	@ MIA
9. Matthew Stafford	@ SEA
10. Brock Purdy	@ IND
11. Bo Nix	vs JAX
12. Caleb Williams	vs GB
13. Justin Herbert	@ DAL
14. Trevor Lawrence	@ DEN
15. Jaxson Dart	vs MIN
16. Baker Mayfield	@ CAR
17. Jordan Love	@ CHI
18. Aaron Rodgers	@ DET
19. Sam Darnold	vs LAR
20. J.J. McCarthy	@ NYG
21. Kirk Cousins	@ ARI
22. Tyler Shough	vs NYJ
23. Geno Smith	@ HOU
24. Cameron Ward	vs KC
25. C.J. Stroud	vs LV
26. Mac Jones	@ IND
27. Joe Flacco	@ MIA
28. Marcus Mariota	vs PHI
29. Dillon Gabriel	vs BUF
30. Bryce Young	vs TB
31. Shedeur Sanders	vs BUF
32. Gardner Minshew	@ TEN
33. Kenny Pickett	vs BUF
34. Quinn Ewers	vs CIN
35. Philip Rivers	vs SF
36. Brady Cook	@ NO
37. Mason Rudolph	@ DET
38. Cooper Rush	vs NE
39. Davis Mills	vs LV
40. Jameis Winston	vs MIN
