rank + name	opp
1. Christian McCaffrey	vs CHI
2. Bijan Robinson	vs LAR
3. Jahmyr Gibbs	@ MIN
4. Devon Achane	vs TB
5. James Cook	vs PHI
6. Jonathan Taylor	vs JAX
7. Saquon Barkley	@ BUF
8. Ashton Jeanty	vs NYG
9. Chase Brown	vs ARI
10. Travis Etienne	@ IND
11. Javonte Williams	@ WAS
12. Kyren Williams	@ ATL
13. Bucky Irving	@ MIA
14. Josh Jacobs	vs BAL
15. Derrick Henry	@ GB
16. Rhamondre Stevenson	@ NYJ
17. Omarion Hampton	vs HOU
18. RJ Harvey	@ KC
19. Tyrone Tracy	@ LV
20. D'Andre Swift	@ SF
21. Aaron Jones	vs DET
22. Rico Dowdle	vs SEA
23. Kenneth Gainwell	@ CLE
24. Woody Marks	@ LAC
25. Michael Carter	@ CIN
26. Breece Hall	vs NE
27. Kenneth Walker	@ CAR
28. Jaylen Warren	@ CLE
29. Tony Pollard	vs NO
30. Dylan Sampson	vs PIT
31. Blake Corum	@ ATL
32. Chuba Hubbard	vs SEA
33. Kyle Monangai	@ SF
34. Chris Rodriguez	vs DAL
35. Zach Charbonnet	@ CAR
36. David Montgomery	@ MIN
37. Emanuel Wilson	vs BAL
38. Tyjae Spears	vs NO
39. Isiah Pacheco	vs DEN
40. Audric Estime	@ TEN
41. Kareem Hunt	vs DEN
42. TreVeyon Henderson	@ NYJ
43. Kimani Vidal	vs HOU
44. Tyler Allgeier	vs LAR
45. Jordan Mason	vs DET
46. Devin Singletary	@ LV
47. Bhayshul Tuten	@ IND
48. Rachaad White	@ MIA
49. Sean Tucker	@ MIA
50. Jacory Croskey-Merritt	vs DAL
51. Nick Chubb	@ LAC
52. Jaydon Blue	@ WAS
53. Brashard Smith	vs DEN
54. Terrell Jennings	@ NYJ
55. Samaje Perine	vs ARI
56. Justice Hill	@ GB
57. Isaiah Davis	vs NE
58. Jaret Patterson	vs HOU
59. Jerome Ford	vs PIT
60. Ollie Gordon II	vs TB
61. Brian Robinson	vs CHI
62. Ray Davis	vs PHI
63. Raheem Mostert	vs NYG
64. Kaleb Johnson	@ CLE
65. Jawhar Jordan	@ LAC
66. Evan Hull	@ CLE
67. Raheim Sanders	vs HOU
68. Jeremy McNichols	vs DAL
69. Jaleel McLaughlin	@ KC
70. Ty Johnson	vs PHI
71. Jaylen Wright	vs TB
72. Dare Ogunbowale	@ LAC
73. Keaton Mitchell	@ GB
74. Roschon Johnson	@ SF
75. MarShawn Lloyd	vs BAL
76. Tank Bigsby	@ BUF
77. Rasheen Ali	@ GB
78. Pierre Strong	vs PIT
79. LeQuint Allen	@ IND
80. Tyler Badie	@ KC
81. Jarquez Hunter	@ ATL
82. Will Shipley	@ BUF
83. Chris Brooks	vs BAL
84. DJ Giddens	vs JAX
85. Isaac Guerendo	vs CHI
86. Tahj Brooks	vs ARI
87. AJ Dillon	@ BUF
88. Tyler Goodson	vs JAX
