rank + name	opp
1. Trey McBride	@ CIN
2. George Kittle	vs CHI
3. Kyle Pitts	vs LAR
4. Dallas Goedert	@ BUF
5. Harold Fannin	vs PIT
6. Colston Loveland	@ SF
7. Travis Kelce	vs DEN
8. Jake Ferguson	@ WAS
9. Dalton Kincaid	vs PHI
10. Tyler Warren	vs JAX
11. Dalton Schultz	@ LAC
12. Colby Parkinson	@ ATL
13. Oronde Gadsden	vs HOU
14. Juwan Johnson	@ TEN
15. Hunter Henry	@ NYJ
16. Theo Johnson	@ LV
17. Mark Andrews	@ GB
18. T.J. Hockenson	vs DET
19. Cade Otton	@ MIA
20. Evan Engram	@ KC
21. Mason Taylor	vs NE
22. Chigoziem Okonkwo	vs NO
23. Luke Musgrave	vs BAL
24. Noah Fant	vs ARI
25. Jonnu Smith	vs TB
26. Ja'Tavion Sanders	vs SEA
27. Michael Mayer	vs NYG
28. Pat Freiermuth	@ CLE
29. Brenton Strange	@ IND
30. Darren Waller	vs TB
31. Taysom Hill	@ TEN
32. AJ Barner	@ CAR
33. Mike Gesicki	vs ARI
34. Isaiah Likely	@ GB
35. Gunnar Helm	vs NO
36. Ben Sinnott	vs DAL
37. Dawson Knox	vs PHI
38. Tyler Higbee	@ ATL
39. Elijah Arroyo	@ CAR
40. Tommy Tremble	vs SEA
41. Greg Dulcich	@ LV
42. Brock Wright	@ MIN
43. Noah Gray	vs DEN
44. Terrance Ferguson	@ ATL
45. Tyler Conklin	vs HOU
46. Jeremy Ruckert	vs NE
47. John Bates	vs DAL
