rank	name	team	bye
1	Brandon Aubrey	DAL	14
2	Cameron Dicker	LAC	7
3	Ka'imi Fairbairn	HOU	8
4	Jason Myers	SEA	11
5	Cam Little	JAC	7
6	Eddy Pineiro	SF	8
7	Cairo Santos	CHI	10
8	Tyler Loop	BAL	13
9	Evan McPherson	CIN	6
10	Jake Bates	DET	6
11	Andy Borregales	NE	11
12	Harrison Mevis	LAR	11
13	Chase McLaughlin	TB	10
14	Harrison Butker	KC	5
15	Chris Boswell	PIT	9
16	Will Reichard	MIN	6
17	Wil Lutz	DEN	10
18	Jake Elliott	PHI	10
19	Tyler Bass	BUF	7
20	Trey Smack	GB	11
21	Nick Folk	ATL	11
22	Blake Grupe	NYJ	13
23	Spencer Shrader	IND	13
24	Charlie Smyth	NO	8
25	Daniel Carlson	NO	8
26	Joey Slye	TEN	9
27	Zane Gonzalez	FA
28	Ryan Fitzgerald	CAR	5
29	Brandon McManus	FA
30	Chad Ryland	ARI	14
31	Drew Stevens	WAS	7
32	Riley Patterson	MIA	6
33	Jake Moody	BAL	13
34	Matt Gay	LV	13
35	Dominic Zvada	NYG	8
36	Andre Szmyt	CLE	11
37	Ben Sauls	FA

