rank	name	team	bye
1	Seattle Seahawks	SEA	11
2	Houston Texans	HOU	8
3	Denver Broncos	DEN	10
4	Philadelphia Eagles	PHI	10
5	Los Angeles Rams	LAR	11
6	Minnesota Vikings	MIN	6
7	Jacksonville Jaguars	JAC	7
8	New England Patriots	NE	11
9	Pittsburgh Steelers	PIT	9
10	Baltimore Ravens	BAL	13
11	Los Angeles Chargers	LAC	7
12	San Francisco 49ers	SF	8
13	Green Bay Packers	GB	11
14	Buffalo Bills	BUF	7
15	Kansas City Chiefs	KC	5
16	Detroit Lions	DET	6
17	Cleveland Browns	CLE	11
18	Tampa Bay Buccaneers	TB	10
19	New Orleans Saints	NO	8
20	Indianapolis Colts	IND	13
21	Dallas Cowboys	DAL	14
22	Cincinnati Bengals	CIN	6
23	New York Giants	NYG	8
24	Tennessee Titans	TEN	9
25	Chicago Bears	CHI	10
26	Atlanta Falcons	ATL	11
27	New York Jets	NYJ	13
28	Las Vegas Raiders	LV	13
29	Washington Commanders	WAS	7
30	Carolina Panthers	CAR	5
31	Arizona Cardinals	ARI	14
32	Miami Dolphins	MIA	6

