rank	name	team	opponent
1	Philadelphia Eagles	PHI	@ TEN
2	Tampa Bay Buccaneers	TB	vs CLE
3	San Francisco 49ers	SF	vs MIA
4	Seattle Seahawks	SEA	@ ARI
5	Baltimore Ravens	BAL	vs NO
6	Los Angeles Chargers	LAC	vs LV
7	Los Angeles Rams	LAR	vs NYG
8	New England Patriots	NE	vs PIT
9	Houston Texans	HOU	vs CIN
10	Green Bay Packers	GB	@ NYJ
11	Kansas City Chiefs	KC	vs IND
12	Denver Broncos	DEN	vs JAC
13	Pittsburgh Steelers	PIT	@ NE
14	Jacksonville Jaguars	JAC	@ DEN
15	Carolina Panthers	CAR	@ ATL
16	Dallas Cowboys	DAL	vs WAS
17	Cincinnati Bengals	CIN	@ HOU
18	Chicago Bears	CHI	vs MIN
19	Minnesota Vikings	MIN	@ CHI
20	Atlanta Falcons	ATL	vs CAR
21	Buffalo Bills	BUF	vs DET
22	Cleveland Browns	CLE	@ TB
23	Las Vegas Raiders	LV	@ LAC
24	New York Jets	NYJ	vs GB
25	Arizona Cardinals	ARI	vs SEA
26	Indianapolis Colts	IND	@ KC
27	New Orleans Saints	NO	@ BAL
28	Detroit Lions	DET	@ BUF
29	Tennessee Titans	TEN	vs PHI
30	Washington Commanders	WAS	@ DAL
31	New York Giants	NYG	@ LAR
32	Miami Dolphins	MIA	@ SF

