rank	name	team	opponent
1	Brandon Aubrey	DAL	vs WAS
2	Cameron Dicker	LAC	vs LV
3	Eddy Pineiro	SF	vs MIA
4	Ka'imi Fairbairn	HOU	vs CIN
5	Cam Little	JAC	@ DEN
6	Jason Myers	SEA	@ ARI
7	Cairo Santos	CHI	vs MIN
8	Tyler Loop	BAL	vs NO
9	Evan McPherson	CIN	@ HOU
10	Trey Smack	GB	@ NYJ
11	Harrison Butker	KC	vs IND
12	Chase McLaughlin	TB	vs CLE
13	Tyler Bass	BUF	vs DET
14	Harrison Mevis	LAR	vs NYG
15	Jake Bates	DET	@ BUF
16	Jake Elliott	PHI	@ TEN
17	Will Reichard	MIN	@ CHI
18	Chris Boswell	PIT	@ NE
19	Wil Lutz	DEN	vs JAC
20	Andy Borregales	NE	vs PIT
21	Ryan Fitzgerald	CAR	@ ATL
22	Daniel Carlson	NO	@ BAL
23	Nick Folk	ATL	vs CAR
24	Jason Sanders	NYJ	vs GB
25	Chad Ryland	ARI	vs SEA
26	Joey Slye	TEN	vs PHI
27	Spencer Shrader	IND	@ KC
28	Matt Gay	LV	@ LAC
29	Drew Stevens	WAS	@ DAL
30	Dominic Zvada	NYG	@ LAR
31	Riley Patterson	MIA	@ SF
32	Andre Szmyt	CLE	@ TB
33	Blake Grupe	NYJ	vs GB

